"Czas (s)";"Napięcie (V)"
30.900;0.207
30.950;0.207
31.000;0.204
31.050;0.203
31.100;0.202
31.150;0.200
31.200;0.199
31.250;0.198
31.300;0.196
31.350;0.196
31.400;0.195
31.450;0.193
31.500;0.192
31.550;0.190
31.600;0.189
31.650;0.188
31.700;0.188
31.750;0.186
31.800;0.184
31.850;0.183
31.900;0.182
31.950;0.181
32.000;0.181
32.050;0.180
32.100;0.179
32.150;0.177
32.200;0.176
32.250;0.175
32.300;0.173
32.350;0.172
32.400;0.172
32.450;0.171
32.500;0.169
32.550;0.168
32.600;0.166
32.650;0.165
32.700;0.165
32.750;0.165
32.800;0.163
32.850;0.162
32.900;0.160
32.950;0.160
33.000;0.159
33.050;0.157
33.100;0.157
33.150;0.156
33.200;0.155
33.250;0.154
33.300;0.152
33.350;0.152
33.400;0.150
33.450;0.149
33.500;0.149
33.550;0.149
33.600;0.147
33.650;0.145
33.700;0.145
33.750;0.143
33.800;0.143
33.850;0.142
33.900;0.141
33.950;0.140
34.000;0.139
34.050;0.138
34.100;0.137
34.150;0.136
34.200;0.135
34.250;0.134
34.300;0.133
34.350;0.132
34.400;0.132
34.450;0.130
34.500;0.130
34.550;0.130
34.600;0.128
34.650;0.127
34.700;0.126
34.750;0.126
34.800;0.125
34.850;0.125
34.900;0.124
34.950;0.123
35.000;0.121
35.050;0.121
35.100;0.119
35.150;0.119
35.200;0.119
35.250;0.118
35.300;0.118
35.350;0.117
35.400;0.115
35.450;0.114
35.500;0.113
35.550;0.113
35.600;0.113
35.650;0.112
35.700;0.111
35.750;0.110
35.800;0.109
35.850;0.109
35.900;0.108
35.950;0.107
36.000;0.107
36.050;0.106
36.100;0.105
36.150;0.104
36.200;0.104
36.250;0.103
36.300;0.103
36.350;0.103
36.400;0.102
36.450;0.101
36.500;0.100
36.550;0.100
36.600;0.099
36.650;0.099
36.700;0.098
36.750;0.098
36.800;0.096
36.850;0.096
36.900;0.096
36.950;0.095
37.000;0.094
37.050;0.094
37.100;0.093
37.150;0.093
37.200;0.092
37.250;0.092
37.300;0.091
37.350;0.091
37.400;0.090
37.450;0.089
37.500;0.089
37.550;0.088
37.600;0.087
37.650;0.087
37.700;0.086
37.750;0.086
37.800;0.086
37.850;0.085
37.900;0.084
37.950;0.084
38.000;0.084
38.050;0.083
38.100;0.083
38.150;0.082
38.200;0.081
38.250;0.080
38.300;0.079
38.350;0.079
38.400;0.078
38.450;0.078
38.500;0.078
38.550;0.078
38.600;0.076
38.650;0.076
38.700;0.075
38.750;0.074
38.800;0.075
38.850;0.074
38.900;0.073
38.950;0.072
39.000;0.071
39.050;0.071
39.100;0.071
39.150;0.071
39.200;0.070
39.250;0.069
39.300;0.069
39.350;0.069
39.400;0.068
39.450;0.068
39.500;0.067
39.550;0.067
39.600;0.067
39.650;0.066
39.700;0.066
39.750;0.066
39.800;0.065
39.850;0.065
39.900;0.065
39.950;0.064
40.000;0.063
40.050;0.063
40.100;0.063
40.150;0.062
40.200;0.063
40.250;0.062
40.300;0.062
40.350;0.061
40.400;0.061
40.450;0.060
40.500;0.060
40.550;0.060
40.600;0.060
40.650;0.059
40.700;0.059
40.750;0.058
40.800;0.057
40.850;0.058
40.900;0.057
40.950;0.057
41.000;0.057
41.050;0.056
41.100;0.055
41.150;0.055
41.200;0.055
41.250;0.055
41.300;0.055
41.350;0.055
41.400;0.054
41.450;0.054
41.500;0.054
41.550;0.054
41.600;0.054
41.650;0.054
41.700;0.053
41.750;0.052
41.800;0.052
41.850;0.051
41.900;0.051
41.950;0.051
42.000;0.051
42.050;0.051
42.100;0.050
42.150;0.049
42.200;0.049
42.250;0.049
42.300;0.048
42.350;0.049
42.400;0.048
42.450;0.048
42.500;0.047
42.550;0.046
42.600;0.046
42.650;0.046
42.700;0.046
42.750;0.046
42.800;0.045
42.850;0.045
42.900;0.045
42.950;0.044
43.000;0.044
43.050;0.044
43.100;0.044
43.150;0.043
43.200;0.043
43.250;0.041
43.300;0.042
43.350;0.042
43.400;0.042
43.450;0.042
43.500;0.041
43.550;0.041
43.600;0.040
43.650;0.040
43.700;0.040
43.750;0.040
43.800;0.040
43.850;0.040
43.900;0.039
43.950;0.039
44.000;0.039
44.050;0.038
44.100;0.039
44.150;0.039
44.200;0.038
44.250;0.038
44.300;0.037
44.350;0.037
44.400;0.037
44.450;0.037
44.500;0.037
44.550;0.036
44.600;0.036
44.650;0.036
44.700;0.035
44.750;0.035
44.800;0.036
44.850;0.036
44.900;0.035
44.950;0.034
45.000;0.035
45.050;0.034
45.100;0.033
45.150;0.034
45.200;0.034
45.250;0.034
45.300;0.033
45.350;0.032
45.400;0.033
45.450;0.033
45.500;0.032
45.550;0.033
45.600;0.033
45.650;0.032
45.700;0.031
45.750;0.031
