"Czas (s) Seria nr 1";"Napięcie (V) Seria nr 1"
33,900;1,178
33,950;1,174
34,000;1,170
34,050;1,167
34,100;1,163
34,150;1,159
34,200;1,155
34,250;1,151
34,300;1,147
34,350;1,143
34,400;1,140
34,450;1,137
34,500;1,132
34,550;1,129
34,600;1,124
34,650;1,120
34,700;1,116
34,750;1,112
34,800;1,109
34,850;1,106
34,900;1,103
34,950;1,099
35,000;1,096
35,050;1,091
35,100;1,088
35,150;1,084
35,200;1,081
35,250;1,077
35,300;1,074
35,350;1,071
35,400;1,067
35,450;1,063
35,500;1,060
35,550;1,056
35,600;1,053
35,650;1,050
35,700;1,046
35,750;1,042
35,800;1,039
35,850;1,036
35,900;1,032
35,950;1,029
36,000;1,025
36,050;1,022
36,100;1,019
36,150;1,015
36,200;1,012
36,250;1,009
36,300;1,005
36,350;1,001
36,400;0,998
36,450;0,995
36,500;0,992
36,550;0,989
36,600;0,986
36,650;0,982
36,700;0,979
36,750;0,976
36,800;0,973
36,850;0,969
36,900;0,965
36,950;0,963
37,000;0,959
37,050;0,957
37,100;0,954
37,150;0,950
37,200;0,948
37,250;0,944
37,300;0,941
37,350;0,938
37,400;0,935
37,450;0,932
37,500;0,928
37,550;0,925
37,600;0,922
37,650;0,919
37,700;0,917
37,750;0,914
37,800;0,911
37,850;0,908
37,900;0,905
37,950;0,902
38,000;0,898
38,050;0,895
38,100;0,893
38,150;0,890
38,200;0,887
38,250;0,885
38,300;0,882
38,350;0,879
38,400;0,877
38,450;0,873
38,500;0,870
38,550;0,867
38,600;0,864
38,650;0,861
38,700;0,858
38,750;0,856
38,800;0,853
38,850;0,850
38,900;0,848
38,950;0,844
39,000;0,840
39,050;0,838
39,100;0,836
39,150;0,833
39,200;0,831
39,250;0,828
39,300;0,826
39,350;0,824
39,400;0,820
39,450;0,817
39,500;0,815
39,550;0,813
39,600;0,810
39,650;0,806
39,700;0,803
39,750;0,801
39,800;0,798
39,850;0,796
39,900;0,793
39,950;0,792
40,000;0,789
40,050;0,787
40,100;0,784
40,150;0,781
40,200;0,778
40,250;0,776
40,300;0,774
40,350;0,771
40,400;0,769
40,450;0,766
40,500;0,763
40,550;0,761
40,600;0,758
40,650;0,755
40,700;0,753
40,750;0,750
40,800;0,748
40,850;0,746
40,900;0,742
40,950;0,739
41,000;0,736
41,050;0,734
41,100;0,732
41,150;0,730
41,200;0,727
41,250;0,725
41,300;0,723
41,350;0,720
41,400;0,717
41,450;0,714
41,500;0,713
41,550;0,710
41,600;0,709
41,650;0,706
41,700;0,704
41,750;0,701
41,800;0,699
41,850;0,696
41,900;0,693
41,950;0,691
42,000;0,689
42,050;0,687
42,100;0,685
42,150;0,683
42,200;0,680
42,250;0,678
42,300;0,675
42,350;0,674
42,400;0,672
42,450;0,670
42,500;0,667
42,550;0,666
42,600;0,663
42,650;0,660
42,700;0,658
42,750;0,656
42,800;0,654
42,850;0,651
42,900;0,650
42,950;0,648
43,000;0,646
43,050;0,644
43,100;0,642
43,150;0,639
43,200;0,637
43,250;0,634
43,300;0,632
43,350;0,630
43,400;0,628
43,450;0,626
43,500;0,623
43,550;0,622
43,600;0,619
43,650;0,617
43,700;0,615
43,750;0,614
43,800;0,612
43,850;0,611
43,900;0,608
43,950;0,606
44,000;0,604
44,050;0,602
44,100;0,600
44,150;0,598
44,200;0,596
44,250;0,595
44,300;0,592
44,350;0,590
44,400;0,589
44,450;0,587
44,500;0,585
44,550;0,583
44,600;0,582
44,650;0,581
44,700;0,578
44,750;0,577
44,800;0,574
44,850;0,572
44,900;0,570
44,950;0,568
45,000;0,566
45,050;0,564
45,100;0,563
45,150;0,560
45,200;0,558
45,250;0,556
45,300;0,554
45,350;0,553
45,400;0,551
45,450;0,549
45,500;0,548
45,550;0,547
45,600;0,545
45,650;0,543
45,700;0,542
45,750;0,539
45,800;0,537
45,850;0,536
45,900;0,534
45,950;0,532
46,000;0,530
46,050;0,528
46,100;0,526
46,150;0,525
46,200;0,523
46,250;0,522
46,300;0,520
46,350;0,518
46,400;0,517
46,450;0,515
46,500;0,513
46,550;0,511
46,600;0,510
46,650;0,509
46,700;0,507
46,750;0,505
46,800;0,503
46,850;0,502
46,900;0,500
46,950;0,497
47,000;0,496
47,050;0,494
47,100;0,492
47,150;0,492
47,200;0,490
47,250;0,489
47,300;0,487
47,350;0,485
47,400;0,483
47,450;0,482
47,500;0,480
47,550;0,479
47,600;0,477
47,650;0,476
47,700;0,475
47,750;0,472
47,800;0,471
47,850;0,469
47,900;0,468
47,950;0,466
48,000;0,465
48,050;0,464
48,100;0,463
48,150;0,461
48,200;0,459
48,250;0,457
48,300;0,456
48,350;0,454
48,400;0,453
48,450;0,451
48,500;0,450
48,550;0,448
48,600;0,446
48,650;0,444
48,700;0,443
48,750;0,441
48,800;0,440
48,850;0,438
48,900;0,438
48,950;0,437
49,000;0,435
49,050;0,433
49,100;0,431
49,150;0,430
49,200;0,429
49,250;0,428
49,300;0,427
49,350;0,426
49,400;0,424
49,450;0,423
49,500;0,421
49,550;0,419
49,600;0,418
49,650;0,416
49,700;0,416
49,750;0,415
49,800;0,413
49,850;0,412
49,900;0,410
49,950;0,408
50,000;0,407
50,050;0,406
50,100;0,405
50,150;0,404
50,200;0,403
50,250;0,401
50,300;0,400
50,350;0,399
50,400;0,397
50,450;0,396
50,500;0,394
50,550;0,393
50,600;0,392
50,650;0,391
50,700;0,389
50,750;0,387
50,800;0,385
50,850;0,385
50,900;0,384
50,950;0,383
51,000;0,381
51,050;0,380
51,100;0,378
51,150;0,377
51,200;0,376
51,250;0,375
51,300;0,374
51,350;0,372
51,400;0,371
51,450;0,370
51,500;0,369
51,550;0,369
51,600;0,367
51,650;0,365
51,700;0,364
51,750;0,363
51,800;0,361
51,850;0,361
51,900;0,360
51,950;0,359
52,000;0,357
52,050;0,354
52,100;0,354
52,150;0,353
52,200;0,352
52,250;0,351
52,300;0,350
52,350;0,349
52,400;0,347
52,450;0,346
52,500;0,345
52,550;0,345
52,600;0,343
52,650;0,342
52,700;0,342
52,750;0,341
52,800;0,339
52,850;0,338
52,900;0,337
52,950;0,336
53,000;0,335
53,050;0,334
53,100;0,333
53,150;0,332
53,200;0,331
53,250;0,330
53,300;0,329
53,350;0,327
53,400;0,326
53,450;0,325
53,500;0,324
53,550;0,323
53,600;0,322
53,650;0,320
53,700;0,319
53,750;0,318
53,800;0,317
53,850;0,315
53,900;0,314
53,950;0,314
54,000;0,313
54,050;0,312
54,100;0,311
54,150;0,309
54,200;0,308
54,250;0,308
54,300;0,307
54,350;0,306
54,400;0,306
54,450;0,305
54,500;0,304
54,550;0,303
54,600;0,302
54,650;0,301
54,700;0,300
54,750;0,299
54,800;0,298
54,850;0,298
54,900;0,297
54,950;0,296
55,000;0,294
55,050;0,293
55,100;0,292
55,150;0,290
55,200;0,290
55,250;0,290
55,300;0,289
55,350;0,287
55,400;0,286
55,450;0,284
55,500;0,284
55,550;0,283
55,600;0,283
55,650;0,282
55,700;0,282
55,750;0,281
55,800;0,280
55,850;0,278
55,900;0,277
55,950;0,277
56,000;0,276
56,050;0,275
56,100;0,275
56,150;0,274
56,200;0,273
56,250;0,272
56,300;0,271
56,350;0,270
56,400;0,269
56,450;0,268
56,500;0,268
56,550;0,267
56,600;0,266
56,650;0,265
56,700;0,264
56,750;0,262
56,800;0,261
56,850;0,260
56,900;0,259
56,950;0,259
57,000;0,259
57,050;0,257
57,100;0,256
57,150;0,254
57,200;0,252
57,250;0,252
57,300;0,252
57,350;0,251
57,400;0,250
57,450;0,250
57,500;0,249
57,550;0,248
57,600;0,247
57,650;0,246
57,700;0,246
57,750;0,245
57,800;0,244
57,850;0,243
57,900;0,243
57,950;0,241
58,000;0,241
58,050;0,239
58,100;0,239
58,150;0,238
58,200;0,238
58,250;0,237
58,300;0,236
58,350;0,235
58,400;0,235
58,450;0,234
58,500;0,232
58,550;0,232
58,600;0,232
58,650;0,231
58,700;0,230
58,750;0,228
58,800;0,228
58,850;0,227
58,900;0,227
58,950;0,226
59,000;0,225
59,050;0,225
59,100;0,224
59,150;0,223
59,200;0,222
59,250;0,221
59,300;0,221
59,350;0,220
59,400;0,220
59,450;0,219
59,500;0,219
59,550;0,218
59,600;0,217
59,650;0,216
59,700;0,215
59,750;0,214
59,800;0,214
59,850;0,213
59,900;0,212
59,950;0,212
60,000;0,211
60,050;0,210
60,100;0,209
60,150;0,208
60,200;0,208
60,250;0,207
60,300;0,207
60,350;0,206
60,400;0,205
60,450;0,204
60,500;0,203
60,550;0,203
60,600;0,202
60,650;0,201
60,700;0,201
60,750;0,201
60,800;0,200
60,850;0,199
60,900;0,197
60,950;0,197
61,000;0,196
61,050;0,195
61,100;0,195
61,150;0,195
61,200;0,195
61,250;0,193
61,300;0,193
61,350;0,191
61,400;0,191
61,450;0,191
61,500;0,190
61,550;0,189
61,600;0,189
61,650;0,189
61,700;0,188
61,750;0,187
61,800;0,187
61,850;0,186
61,900;0,186
61,950;0,186
62,000;0,185
62,050;0,184
62,100;0,183
62,150;0,183
62,200;0,182
62,250;0,181
62,300;0,181
62,350;0,181
62,400;0,180
62,450;0,180
62,500;0,179
62,550;0,178
62,600;0,178
62,650;0,177
62,700;0,177
62,750;0,176
62,800;0,175
62,850;0,175
62,900;0,174
62,950;0,174
63,000;0,173
63,050;0,172
63,100;0,172
63,150;0,172
63,200;0,171
63,250;0,170
63,300;0,170
63,350;0,170
63,400;0,169
63,450;0,168
63,500;0,167
63,550;0,167
63,600;0,166
63,650;0,166
63,700;0,165
63,750;0,165
63,800;0,165
63,850;0,163
63,900;0,163
63,950;0,162
64,000;0,162
64,050;0,161
64,100;0,161
64,150;0,161
64,200;0,160
64,250;0,159
64,300;0,158
64,350;0,158
64,400;0,158
64,450;0,158
64,500;0,158
64,550;0,157
64,600;0,156
64,650;0,156
64,700;0,155
64,750;0,154
64,800;0,154
64,850;0,153
64,900;0,153
64,950;0,153
65,000;0,153
65,050;0,152
65,100;0,151
65,150;0,150
65,200;0,149
65,250;0,149
65,300;0,148
65,350;0,148
65,400;0,148
65,450;0,147
65,500;0,147
65,550;0,146
65,600;0,145
65,650;0,146
65,700;0,144
65,750;0,144
65,800;0,144
65,850;0,144
65,900;0,143
65,950;0,142
66,000;0,141
66,050;0,141
66,100;0,141
66,150;0,141
66,200;0,140
66,250;0,140
66,300;0,140
66,350;0,138
66,400;0,138
66,450;0,137
66,500;0,137
66,550;0,136
66,600;0,136
66,650;0,136
66,700;0,135
66,750;0,135
66,800;0,134
66,850;0,133
66,900;0,133
66,950;0,133
67,000;0,132
67,050;0,132
67,100;0,132
67,150;0,131
67,200;0,130
67,250;0,130
67,300;0,130
67,350;0,130
67,400;0,129
67,450;0,129
67,500;0,129
67,550;0,129
67,600;0,127
67,650;0,127
67,700;0,126
67,750;0,126
67,800;0,126
67,850;0,126
67,900;0,126
67,950;0,126
68,000;0,125
68,050;0,124
68,100;0,123
68,150;0,123
68,200;0,123
68,250;0,123
68,300;0,123
68,350;0,123
68,400;0,122
68,450;0,121
68,500;0,120
68,550;0,120
68,600;0,120
68,650;0,119
68,700;0,120
68,750;0,118
68,800;0,119
68,850;0,118
68,900;0,118
68,950;0,116
69,000;0,116
69,050;0,115
69,100;0,115
69,150;0,115
69,200;0,115
69,250;0,115
69,300;0,113
69,350;0,113
69,400;0,112
69,450;0,113
69,500;0,112
69,550;0,112
69,600;0,111
69,650;0,111
69,700;0,111
69,750;0,111
69,800;0,110
69,850;0,110
69,900;0,110
69,950;0,109
70,000;0,109
70,050;0,109
70,100;0,109
70,150;0,108
70,200;0,107
70,250;0,107
70,300;0,106
70,350;0,106
70,400;0,106
70,450;0,106
70,500;0,105
70,550;0,105
70,600;0,104
70,650;0,104
70,700;0,103
70,750;0,103
70,800;0,103
70,850;0,103
70,900;0,103
70,950;0,103
71,000;0,102
71,050;0,102
71,100;0,102
71,150;0,102
71,200;0,101
71,250;0,101
71,300;0,101
71,350;0,101
71,400;0,101
71,450;0,100
71,500;0,099
71,550;0,099
71,600;0,098
71,650;0,098
71,700;0,099
71,750;0,099
71,800;0,098
71,850;0,097
71,900;0,097
71,950;0,097
72,000;0,096
72,050;0,096
72,100;0,096
72,150;0,096
72,200;0,096
72,250;0,095
72,300;0,094
72,350;0,094
72,400;0,094
72,450;0,094
72,500;0,094
72,550;0,094
72,600;0,094
72,650;0,094
72,700;0,092
72,750;0,092
72,800;0,092
72,850;0,092
72,900;0,092
72,950;0,092
73,000;0,091
73,050;0,091
73,100;0,091
73,150;0,090
73,200;0,090
73,250;0,089
73,300;0,089
73,350;0,089
73,400;0,089
73,450;0,089
73,500;0,088
73,550;0,088
73,600;0,087
73,650;0,087
73,700;0,086
73,750;0,086
73,800;0,086
73,850;0,086
73,900;0,086
73,950;0,085
74,000;0,085
74,050;0,084
74,100;0,085
74,150;0,084
74,200;0,084
74,250;0,084
74,300;0,084
74,350;0,083
74,400;0,082
74,450;0,082
74,500;0,082
74,550;0,083
74,600;0,082
74,650;0,083
74,700;0,082
74,750;0,082
74,800;0,081
74,850;0,080
74,900;0,080
74,950;0,079
75,000;0,078
75,050;0,079
75,100;0,079
75,150;0,078
75,200;0,078
75,250;0,078
75,300;0,078
75,350;0,077
75,400;0,077
75,450;0,077
75,500;0,077
75,550;0,077
75,600;0,076
75,650;0,075
75,700;0,075
75,750;0,074
75,800;0,074
75,850;0,074
75,900;0,074
75,950;0,073
76,000;0,074
76,050;0,073
76,100;0,072
76,150;0,073
76,200;0,072
76,250;0,072
76,300;0,073
76,350;0,072
76,400;0,072
76,450;0,071
76,500;0,071
76,550;0,070
76,600;0,070
76,650;0,071
76,700;0,070
76,750;0,071
76,800;0,070
76,850;0,070
76,900;0,070
76,950;0,069
77,000;0,069
77,050;0,069
77,100;0,068
77,150;0,068
77,200;0,069
77,250;0,069
77,300;0,068
77,350;0,067
77,400;0,067
77,450;0,067
77,500;0,067
77,550;0,066
77,600;0,067
77,650;0,067
77,700;0,066
77,750;0,066
77,800;0,065
77,850;0,065
77,900;0,064
77,950;0,064
78,000;0,065
78,050;0,064
78,100;0,065
78,150;0,064
78,200;0,063
78,250;0,063
78,300;0,063
78,350;0,063
78,400;0,063
78,450;0,063
78,500;0,063
78,550;0,063
78,600;0,062
78,650;0,062
78,700;0,062
78,750;0,062
78,800;0,062
78,850;0,062
78,900;0,062
78,950;0,061
79,000;0,061
79,050;0,060
79,100;0,060
79,150;0,060
79,200;0,060
79,250;0,060
79,300;0,060
79,350;0,060
79,400;0,060
79,450;0,060
79,500;0,060
79,550;0,059
79,600;0,059
79,650;0,059
79,700;0,059
79,750;0,059
79,800;0,059
79,850;0,058
79,900;0,058
79,950;0,058
80,000;0,057
80,050;0,057
80,100;0,057
80,150;0,058
80,200;0,057
80,250;0,057
80,300;0,057
80,350;0,057
80,400;0,056
80,450;0,056
80,500;0,056
80,550;0,056
80,600;0,056
80,650;0,056
80,700;0,055
80,750;0,055
80,800;0,055
80,850;0,055
80,900;0,055
80,950;0,055
81,000;0,055
81,050;0,055
81,100;0,055
81,150;0,055
81,200;0,054
81,250;0,054
81,300;0,054
81,350;0,054
81,400;0,053
81,450;0,053
81,500;0,053
81,550;0,053
81,600;0,053
81,650;0,053
81,700;0,052
81,750;0,052
81,800;0,053
81,850;0,053
81,900;0,052
81,950;0,052
82,000;0,051
82,050;0,051
82,100;0,051
82,150;0,050
82,200;0,051
82,250;0,051
82,300;0,050
82,350;0,050
82,400;0,049
82,450;0,050
82,500;0,050
82,550;0,049
82,600;0,050
82,650;0,050
82,700;0,049
82,750;0,049
82,800;0,048
82,850;0,048
82,900;0,048
82,950;0,048
83,000;0,048
83,050;0,048
83,100;0,048
83,150;0,047
83,200;0,047
83,250;0,046
83,300;0,046
83,350;0,046
83,400;0,046
83,450;0,046
83,500;0,046
83,550;0,046
83,600;0,045
83,650;0,045
83,700;0,044
83,750;0,045
83,800;0,045
83,850;0,045
83,900;0,045
83,950;0,045
84,000;0,044
84,050;0,044
84,100;0,043
84,150;0,043
84,200;0,043
84,250;0,043
84,300;0,044
84,350;0,043
84,400;0,043
84,450;0,043
84,500;0,043
84,550;0,042
84,600;0,042
84,650;0,043
84,700;0,043
84,750;0,042
84,800;0,042
84,850;0,042
84,900;0,041
84,950;0,041
85,000;0,041
85,050;0,041
85,100;0,041
85,150;0,041
85,200;0,042
85,250;0,041
85,300;0,041
85,350;0,040
85,400;0,040
85,450;0,040
85,500;0,040
85,550;0,041
85,600;0,041
85,650;0,041
85,700;0,040
85,750;0,039
85,800;0,039
85,850;0,039
85,900;0,039
85,950;0,039
86,000;0,040
86,050;0,040
86,100;0,039
86,150;0,039
86,200;0,039
86,250;0,039
86,300;0,039
86,350;0,039
86,400;0,039
86,450;0,039
86,500;0,039
86,550;0,038
86,600;0,037
86,650;0,038
86,700;0,037
86,750;0,038
86,800;0,038
