"Czas (s)","Napięcie (V)"
26.950,2.055
27.000,2.049
27.050,2.042
27.100,2.035
27.150,2.028
27.200,2.021
27.250,2.015
27.300,2.009
27.350,2.002
27.400,1.995
27.450,1.989
27.500,1.983
27.550,1.975
27.600,1.969
27.650,1.962
27.700,1.955
27.750,1.949
27.800,1.942
27.850,1.936
27.900,1.930
27.950,1.925
28.000,1.918
28.050,1.910
28.100,1.904
28.150,1.898
28.200,1.892
28.250,1.886
28.300,1.880
28.350,1.874
28.400,1.868
28.450,1.862
28.500,1.855
28.550,1.850
28.600,1.843
28.650,1.837
28.700,1.831
28.750,1.826
28.800,1.820
28.850,1.813
28.900,1.807
28.950,1.802
29.000,1.796
29.050,1.790
29.100,1.784
29.150,1.778
29.200,1.772
29.250,1.766
29.300,1.761
29.350,1.755
29.400,1.749
29.450,1.744
29.500,1.738
29.550,1.732
29.600,1.726
29.650,1.719
29.700,1.713
29.750,1.708
29.800,1.702
29.850,1.696
29.900,1.691
29.950,1.686
30.000,1.680
30.050,1.674
30.100,1.668
30.150,1.662
30.200,1.656
30.250,1.652
30.300,1.647
30.350,1.642
30.400,1.635
30.450,1.630
30.500,1.624
30.550,1.620
30.600,1.614
30.650,1.609
30.700,1.603
30.750,1.598
30.800,1.593
30.850,1.587
30.900,1.583
30.950,1.577
31.000,1.571
31.050,1.567
31.100,1.562
31.150,1.557
31.200,1.552
31.250,1.547
31.300,1.541
31.350,1.536
31.400,1.531
31.450,1.526
31.500,1.521
31.550,1.516
31.600,1.511
31.650,1.506
31.700,1.501
31.750,1.496
31.800,1.491
31.850,1.487
31.900,1.481
31.950,1.476
32.000,1.471
32.050,1.467
32.100,1.461
32.150,1.457
32.200,1.452
32.250,1.447
32.300,1.442
32.350,1.438
32.400,1.433
32.450,1.427
32.500,1.422
32.550,1.418
32.600,1.414
32.650,1.409
32.700,1.405
32.750,1.401
32.800,1.396
32.850,1.391
32.900,1.386
32.950,1.382
33.000,1.379
33.050,1.374
33.100,1.369
33.150,1.364
33.200,1.359
33.250,1.355
33.300,1.350
33.350,1.346
33.400,1.342
33.450,1.337
33.500,1.332
33.550,1.328
33.600,1.323
33.650,1.320
33.700,1.316
33.750,1.312
33.800,1.308
33.850,1.303
33.900,1.298
33.950,1.294
34.000,1.289
34.050,1.285
34.100,1.281
34.150,1.278
34.200,1.273
34.250,1.269
34.300,1.264
34.350,1.261
34.400,1.257
34.450,1.253
34.500,1.249
34.550,1.245
34.600,1.240
34.650,1.235
34.700,1.231
34.750,1.226
34.800,1.223
34.850,1.218
34.900,1.215
34.950,1.210
35.000,1.206
35.050,1.202
35.100,1.198
35.150,1.195
35.200,1.191
35.250,1.187
35.300,1.183
35.350,1.179
35.400,1.174
35.450,1.170
35.500,1.166
35.550,1.163
35.600,1.159
35.650,1.156
35.700,1.152
35.750,1.148
35.800,1.144
35.850,1.139
35.900,1.136
35.950,1.133
36.000,1.129
36.050,1.125
36.100,1.122
36.150,1.117
36.200,1.113
36.250,1.110
